TransactionType,TransactionDuration,TimeSinceLastTransaction,TransactionPerDay,LoginAttempts,Cluster
Debit,81.0,49477134.0,1.0,Low,0
Debit,141.0,42823516.0,1.0,Low,0
Debit,56.0,41694656.0,1.0,Low,0
Debit,25.0,47403415.0,1.0,Low,0
Credit,198.0,33228915.0,1.0,Low,0
Debit,172.0,50165495.0,1.0,Low,0
Credit,139.0,54228801.0,1.0,Low,0
Credit,291.0,47139776.0,1.0,Low,0
Credit,86.0,51289888.0,1.0,Low,0
Debit,120.0,50428775.0,1.0,Low,0
Credit,59.0,51895235.0,1.0,Low,0
Debit,173.0,55003032.0,1.0,Low,0
Credit,111.0,44549230.0,1.0,Low,0
Debit,123.0,30209271.0,1.0,Low,0
Debit,134.0,54400572.0,1.0,Low,0
Debit,129.0,28309728.0,1.0,Low,0
Credit,158.0,32022886.0,1.0,Low,0
Debit,234.0,28129177.0,1.0,Low,0
Credit,106.0,53709311.0,1.0,Low,0
Credit,169.0,44459430.0,1.0,Low,0
Debit,38.0,53105546.0,1.0,Low,0
Debit,93.0,38929002.0,1.0,Low,0
Debit,120.0,44629966.0,1.0,Low,0
Debit,142.0,47655678.0,1.0,Low,0
Debit,96.0,52932193.0,1.0,Low,0
Credit,276.0,32883391.0,1.0,Low,0
Debit,158.0,48958477.0,1.0,High,2
Debit,95.0,50599761.0,1.0,Low,0
Debit,197.0,56130770.0,1.0,Low,0
Debit,283.0,35478768.0,2.0,Low,1
Credit,20.0,41091595.0,1.0,Low,0
Debit,257.0,55006954.0,1.0,Low,0
Debit,168.0,35048713.0,1.0,Low,0
Debit,150.0,51979466.0,1.0,Low,0
Credit,50.0,32282882.0,1.0,Low,0
Debit,45.0,33233607.0,1.0,Low,0
Debit,145.0,30122014.0,1.0,Low,0
Debit,137.0,52928263.0,1.0,Low,0
Debit,90.0,33577417.0,1.0,Low,0
Debit,216.0,56127012.0,1.0,Low,0
Debit,119.0,39878861.0,1.0,Low,0
Debit,19.0,57427104.0,1.0,Low,0
Credit,116.0,48690680.0,1.0,Low,0
Debit,117.0,49392266.0,1.0,Low,0
Debit,33.0,40317445.0,1.0,Low,0
Debit,90.0,34266103.0,1.0,Low,0
Debit,75.0,28224535.0,1.0,Low,0
Debit,105.0,33838915.0,1.0,Low,0
Debit,138.0,29604087.0,1.0,Low,0
